team_id,phase,metric,value
ATX,offense,plays,372
ATX,offense,yards,1740.2497003874885
ATX,offense,successes,192
ATX,offense,epa,87.01248501937424
ATX,offense,pass_attempts,182
ATX,offense,rush_attempts,150
ATX,offense,pressures,21
ATX,offense,pressured_plays,12
ATX,offense,sacks,0
ATX,offense,turnovers,8
ATX,defense,plays,0
ATX,defense,yards,0.0
ATX,defense,successes,0
ATX,defense,epa,0.0
ATX,defense,pass_attempts,0
ATX,defense,rush_attempts,0
ATX,defense,pressures,0
ATX,defense,pressured_plays,0
ATX,defense,sacks,5
ATX,defense,turnovers,0
BOS,offense,plays,359
BOS,offense,yards,1719.363230613758
BOS,offense,successes,191
BOS,offense,epa,85.96816153068764
BOS,offense,pass_attempts,136
BOS,offense,rush_attempts,185
BOS,offense,pressures,19
BOS,offense,pressured_plays,9
BOS,offense,sacks,0
BOS,offense,turnovers,3
BOS,defense,plays,0
BOS,defense,yards,0.0
BOS,defense,successes,0
BOS,defense,epa,0.0
BOS,defense,pass_attempts,0
BOS,defense,rush_attempts,0
BOS,defense,pressures,0
BOS,defense,pressured_plays,0
BOS,defense,sacks,3
BOS,defense,turnovers,0
CHI,offense,plays,337
CHI,offense,yards,1687.885633015322
CHI,offense,successes,168
CHI,offense,epa,84.39428165076585
CHI,offense,pass_attempts,145
CHI,offense,rush_attempts,160
CHI,offense,pressures,25
CHI,offense,pressured_plays,18
CHI,offense,sacks,0
CHI,offense,turnovers,1
CHI,defense,plays,0
CHI,defense,yards,0.0
CHI,defense,successes,0
CHI,defense,epa,0.0
CHI,defense,pass_attempts,0
CHI,defense,rush_attempts,0
CHI,defense,pressures,0
CHI,defense,pressured_plays,0
CHI,defense,sacks,4
CHI,defense,turnovers,0
DEN,offense,plays,380
DEN,offense,yards,1709.53485334223
DEN,offense,successes,192
DEN,offense,epa,85.47674266711114
DEN,offense,pass_attempts,160
DEN,offense,rush_attempts,179
DEN,offense,pressures,23
DEN,offense,pressured_plays,12
DEN,offense,sacks,0
DEN,offense,turnovers,3
DEN,defense,plays,0
DEN,defense,yards,0.0
DEN,defense,successes,0
DEN,defense,epa,0.0
DEN,defense,pass_attempts,0
DEN,defense,rush_attempts,0
DEN,defense,pressures,0
DEN,defense,pressured_plays,0
DEN,defense,sacks,6
DEN,defense,turnovers,0
